province_name,population,doses_distributed,doses_administered,doses_per_100,source_url,snapshot_date
Đà Nẵng,1134310,2495582,2631204,231.97,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Bà Rịa-Vũng Tàu,1148313,2756640,2665872,232.16,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Bình Dương,2426561,6222150,5792367,238.71,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Bình Phước,994679,2212180,2029846,204.07,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Đồng Nai,3097107,6663800,6278791,202.73,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Tây Ninh,1169165,2581560,2568673,219.7,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Ho Chi Minh City,8993082,20321778,20162558,224.2,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
An Giang,1908352,4054292,3961149,207.57,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Bạc Liêu,907236,1609230,1661733,183.16,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Bến Tre,1288463,2994032,2904036,225.39,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Cà Mau,1194476,2457310,2382037,199.42,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Đồng Tháp,1599504,3617852,3346514,209.22,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Hậu Giang,733017,1529630,1509954,205.99,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Kiên Giang,1723067,3601150,3030096,175.85,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Long An,1688547,4333358,4382424,259.54,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Sóc Trăng,1199653,2581060,2703917,225.39,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Tiền Giang,1764185,3725890,3788828,214.76,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Trà Vinh,1009168,2098550,2031051,201.26,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Vĩnh Long,1022791,2337120,2314156,226.26,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Cần Thơ,1235171,2765418,2681102,217.06,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
